"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Apr-2024"
"NETWEB","1,518.60","1,524.70","1,416.60","1,515.40","1,457.00","-","-58.40","-3.85","3,89,831","56.85","3,060.00","1,251.55","-5.79","-15.12"
"ROUTE","1,021.70","1,025.50","962.45","1,018.80","979.60","-","-39.20","-3.85","1,81,588","17.80","1,942.45","861.90","2.18","-37.65"
"LEMONTREE","145.99","146.63","136.61","145.62","140.00","-","-5.62","-3.86","48,84,179","68.29","162.40","112.29","5.77","0.92"
"PRAJIND","528.95","530.45","504.00","526.60","506.10","-","-20.50","-3.89","7,77,202","39.80","875.00","452.10","-9.22","-2.39"
"LUPIN","2,110.80","2,124.90","2,011.20","2,104.10","2,022.00","-","-82.10","-3.90","7,25,961","148.46","2,402.90","1,493.30","-1.90","26.67"
"TORNTPOWER","1,600.60","1,609.00","1,521.90","1,600.70","1,538.30","-","-62.40","-3.90","2,94,520","45.62","2,037.00","1,207.25","2.58","1.91"
"EMAMILTD","649.00","649.00","618.05","645.80","620.45","-","-25.35","-3.93","3,96,388","24.84","860.00","437.95","11.27","33.29"
"DCMSHRIRAM","1,067.00","1,068.60","1,015.00","1,066.80","1,024.90","-","-41.90","-3.93","59,481","6.10","1,371.10","886.35","-2.41","12.88"
"ADANIENT","2,450.10","2,459.50","2,323.50","2,442.50","2,346.00","-","-96.50","-3.95","14,14,809","334.26","3,743.90","2,025.00","1.80","-24.43"
"PVRINOX","1,020.00","1,033.70","965.00","1,012.10","972.00","-","-40.10","-3.96","4,63,879","45.90","1,748.00","830.00","5.80","-30.47"
"KAYNES","5,845.00","5,870.00","5,472.50","5,835.40","5,604.00","-","-231.40","-3.97","8,56,724","478.23","7,822.00","2,424.00","14.38","110.55"
"BHARTIHEXA","1,647.60","1,648.00","1,571.00","1,640.80","1,575.10","-","-65.70","-4.00","1,70,421","27.25","1,697.90","854.15","7.46","74.50"
"IDBI","83.70","83.95","80.05","83.70","80.34","-","-3.36","-4.01","70,22,961","57.13","107.90","65.89","3.79","-8.65"
"GMRAIRPORT","89.72","90.19","83.86","89.00","85.42","-","-3.58","-4.02","1,82,53,042","157.20","103.75","67.75","12.15","-"
"SOLARINDS","13,254.00","13,300.00","12,641.00","13,247.00","12,714.00","-","-533.00","-4.02","1,07,402","137.88","13,300.00","7,888.25","16.17","44.94"
"NCC","220.60","221.15","210.10","220.04","211.20","-","-8.84","-4.02","55,50,265","118.95","364.50","170.05","1.67","-14.21"
"ABREL","1,980.00","1,989.90","1,871.00","1,980.60","1,901.00","-","-79.60","-4.02","1,59,750","30.53","3,140.00","1,638.00","-1.55","-"
"IGIL","363.65","364.30","347.50","363.65","349.00","-","-14.65","-4.03","15,86,477","56.29","642.30","282.00","-4.29","-"
"EMCURE","1,060.00","1,080.00","1,024.00","1,073.20","1,030.00","-","-43.20","-4.03","49,941","5.19","1,580.00","889.00","0.40","-"
"IRFC","133.49","134.14","126.22","133.42","128.00","-","-5.42","-4.06","3,03,70,205","391.87","229.00","108.04","0.32","-14.28"
"GLAXO","2,941.50","2,944.80","2,780.00","2,916.00","2,797.60","-","-118.40","-4.06","1,58,911","45.15","3,148.00","1,921.00","-0.56","35.68"
"FIRSTCRY","356.65","356.85","334.35","353.30","338.90","-","-14.40","-4.08","4,88,418","16.62","734.00","286.05","-3.64","-"
"PCBL","405.00","405.65","379.15","402.25","385.75","-","-16.50","-4.10","21,28,708","82.58","584.40","209.00","-7.74","45.19"
"JUSTDIAL","963.00","968.15","915.60","960.30","920.55","-","-39.75","-4.14","4,65,476","43.49","1,395.00","751.80","11.11","-14.18"
"TTML","60.81","61.20","58.30","61.14","58.60","-","-2.54","-4.15","32,57,002","19.31","111.40","50.10","2.19","-29.42"
"PNBHOUSING","1,009.60","1,013.30","960.70","1,008.85","966.80","-","-42.05","-4.17","9,56,423","93.54","1,202.20","616.60","14.06","24.06"
"RITES","240.47","243.89","227.68","239.28","229.30","-","-9.98","-4.17","12,93,327","30.09","398.45","192.40","-1.99","-66.49"
"INDHOTEL","819.00","829.85","770.00","819.10","784.85","-","-34.25","-4.18","62,32,065","491.02","894.90","506.45","-2.70","36.22"
"DLF","681.00","685.90","648.95","680.50","652.05","-","-28.45","-4.18","44,96,994","297.32","929.00","601.20","-3.95","-26.88"
"POONAWALLA","397.90","398.90","378.00","396.35","379.75","-","-16.60","-4.19","28,47,797","109.99","507.80","267.20","11.15","-22.84"
"RENUKA","30.50","30.60","29.01","30.54","29.26","-","-1.28","-4.19","68,00,154","20.10","56.50","24.71","4.81","-34.57"
"AMBUJACEM","572.00","574.20","544.00","572.00","548.00","-","-24.00","-4.20","34,91,061","192.29","706.95","453.05","3.05","-14.04"
"GLENMARK","1,421.20","1,434.40","1,355.00","1,420.90","1,361.20","-","-59.70","-4.20","6,64,046","91.15","1,830.95","985.20","-6.92","25.96"
"NIACL","176.00","180.50","166.50","174.43","167.10","-","-7.33","-4.20","22,68,579","39.46","310.11","135.60","6.43","-25.72"
"BHEL","230.98","231.79","217.85","230.50","220.80","-","-9.70","-4.21","1,80,81,374","401.88","335.35","176.00","5.63","-18.13"
"NEWGEN","1,100.00","1,100.00","1,031.00","1,101.40","1,055.00","-","-46.40","-4.21","19,79,295","208.76","1,798.90","746.00","8.95","31.31"
"SCI","181.90","181.90","172.48","181.02","173.40","-","-7.62","-4.21","33,21,328","58.13","384.20","138.26","4.11","-25.35"
"GPPL","147.80","148.04","139.77","147.42","141.20","-","-6.22","-4.22","17,94,170","25.55","250.69","122.50","5.11","-34.46"
"CAPLIPOINT","1,886.00","1,900.00","1,799.00","1,884.40","1,804.90","-","-79.50","-4.22","1,13,217","20.66","2,641.00","1,225.00","-9.24","33.12"
"COCHINSHIP","1,470.00","1,481.20","1,403.20","1,477.60","1,415.00","-","-62.60","-4.24","12,79,388","182.87","2,979.45","1,168.00","-2.50","6.73"
"LTF","179.50","180.09","171.11","179.57","171.95","-","-7.62","-4.24","87,57,102","152.15","194.25","129.20","13.10","3.12"
"KPIL","989.80","995.00","938.55","989.15","947.20","-","-41.95","-4.24","1,71,203","16.35","1,449.00","786.30","-6.32","-20.15"
"RHIM","465.10","466.90","440.25","462.70","443.00","-","-19.70","-4.26","2,43,689","10.91","755.55","376.45","-4.55","-31.02"
"LLOYDSME","1,324.80","1,344.00","1,251.00","1,326.80","1,269.90","-","-56.90","-4.29","5,18,754","66.75","1,478.00","592.00","1.14","75.30"
"RECLTD","440.00","443.20","419.15","439.95","421.00","-","-18.95","-4.31","89,44,833","382.10","654.00","357.35","-0.80","-6.44"
"AJANTPHARM","2,800.40","2,829.40","2,664.50","2,790.40","2,670.00","-","-120.40","-4.31","68,055","18.42","3,485.00","2,111.05","-1.93","25.05"
"LATENTVIEW","418.00","419.25","400.30","420.10","401.90","-","-18.20","-4.33","3,98,147","16.21","575.00","341.20","11.95","-21.84"
"PEL","1,018.00","1,032.70","969.75","1,021.60","977.10","-","-44.50","-4.36","5,39,752","53.97","1,275.00","736.60","0.25","8.07"
"POLICYBZR","1,670.00","1,673.40","1,578.10","1,667.20","1,593.50","-","-73.70","-4.42","12,64,004","203.18","2,246.90","1,159.05","-1.05","26.23"
"NMDC","68.35","68.64","64.30","68.02","65.00","-","-3.02","-4.44","5,36,80,926","351.82","95.45","59.53","-4.13","-74.25"
"JSWENERGY","503.00","508.70","478.20","503.80","481.45","-","-22.35","-4.44","31,96,366","156.12","804.90","418.75","-12.72","-20.18"
"GNFC","512.10","512.10","487.00","510.10","487.40","-","-22.70","-4.45","7,26,347","35.78","776.60","449.00","-1.70","-31.24"
"ELECON","549.00","553.00","505.45","540.30","516.00","-","-24.30","-4.50","23,93,920","125.65","739.10","376.95","12.48","-54.66"
"RTNINDIA","45.20","45.68","43.08","45.59","43.54","-","-2.05","-4.50","19,91,591","8.75","92.10","37.42","5.63","-41.86"
"BIOCON","326.75","328.40","308.45","326.75","312.00","-","-14.75","-4.51","43,26,450","135.99","404.70","269.55","-10.47","6.93"
"JINDALSAW","269.50","270.00","255.00","268.10","256.00","-","-12.10","-4.51","13,98,952","36.32","383.85","217.65","-3.69","-53.13"
"HUDCO","230.44","231.70","219.00","230.01","219.59","-","-10.42","-4.53","75,66,520","168.63","353.70","158.85","11.96","8.47"
"TITAGARH","823.65","829.50","767.50","811.45","774.65","-","-36.80","-4.54","28,42,955","224.08","1,896.95","654.55","-3.04","-25.54"
"NAM-INDIA","670.05","676.45","632.10","670.90","640.00","-","-30.90","-4.61","16,55,087","107.17","816.25","498.05","8.61","10.10"
"CONCOR","712.50","714.95","675.00","707.65","675.00","-","-32.65","-4.61","11,15,564","76.92","1,180.00","601.25","-1.18","-32.45"
"RCF","142.30","143.25","134.76","142.15","135.59","-","-6.56","-4.61","35,62,699","48.99","245.00","110.80","8.68","-9.82"
"TRIDENT","29.06","29.17","27.60","29.20","27.85","-","-1.35","-4.62","1,58,61,650","44.59","41.78","23.11","13.28","-30.45"
"SWANENERGY","434.50","436.00","405.40","435.05","414.90","-","-20.15","-4.63","24,12,150","100.32","809.80","362.20","-3.34","-32.52"
"OBEROIRLTY","1,678.90","1,682.80","1,587.70","1,678.90","1,601.00","-","-77.90","-4.64","12,66,105","204.33","2,343.65","1,437.00","-0.83","8.95"
"TATACHEM","865.00","870.25","822.15","864.10","824.00","-","-40.10","-4.64","16,69,531","139.85","1,247.35","756.00","-2.87","-25.73"
"TARIL","536.30","536.80","507.65","534.35","509.55","-","-24.80","-4.64","12,81,002","65.84","648.90","274.10","4.24","-"
"KNRCON","242.23","243.09","229.10","242.23","231.00","-","-11.23","-4.64","15,04,364","35.09","415.40","192.55","0.30","-11.78"
"VTL","489.00","492.15","461.25","487.40","464.75","-","-22.65","-4.65","3,40,756","15.96","592.00","361.10","15.08","0.92"
"ADANIPOWER","576.95","585.55","544.25","575.85","549.00","-","-26.85","-4.66","77,65,708","436.16","895.85","432.00","10.34","-7.26"
"WELSPUNLIV","130.25","131.39","123.10","130.78","124.67","-","-6.11","-4.67","26,11,189","32.79","212.95","104.80","-8.00","-19.97"
"NBCC","99.87","100.10","94.85","99.87","95.20","-","-4.67","-4.68","1,53,32,890","148.22","139.83","70.80","17.79","-27.85"
"ACMESOLAR","222.00","223.90","210.05","222.36","211.90","-","-10.46","-4.70","6,81,340","14.59","292.40","167.75","11.45","-"
"UTIAMC","1,124.70","1,129.40","1,062.80","1,123.90","1,071.00","-","-52.90","-4.71","2,89,545","31.50","1,403.65","891.00","3.42","13.46"
"TRIVENI","437.65","437.65","416.00","437.65","417.00","-","-20.65","-4.72","5,66,688","23.99","536.00","267.50","9.32","16.37"
"SAPPHIRE","335.95","339.90","321.20","340.05","324.00","-","-16.05","-4.72","1,55,193","5.07","401.00","259.31","11.89","-76.46"
"NIVABUPA","88.50","88.85","82.70","88.15","83.92","-","-4.23","-4.80","67,89,144","57.73","109.34","68.54","18.32","-"
"RKFORGE","685.00","687.95","641.75","687.00","654.00","-","-33.00","-4.80","8,49,255","56.01","1,064.05","600.00","-16.76","-13.69"
"IREDA","175.14","176.43","166.35","175.14","166.71","-","-8.43","-4.81","1,74,07,389","295.30","310.00","137.01","2.84","0.18"
"RAILTEL","316.95","317.70","299.15","316.20","301.00","-","-15.20","-4.81","20,75,251","63.30","617.80","265.50","-1.95","-23.69"
"GRANULES","474.90","479.00","450.00","475.05","452.10","-","-22.95","-4.83","14,70,837","67.49","721.00","389.35","-8.10","8.28"
"360ONE","1,024.70","1,024.70","965.80","1,018.25","968.85","-","-49.40","-4.85","11,65,532","114.32","1,318.00","691.40","1.26","15.85"
"JUBLPHARMA","958.00","962.00","901.00","952.65","906.45","-","-46.20","-4.85","4,35,584","39.82","1,309.90","617.05","5.64","34.26"
"GMDCLTD","324.90","325.35","304.00","324.30","308.50","-","-15.80","-4.87","15,69,081","48.87","452.95","226.59","18.55","-26.11"
"INOXWIND","182.51","182.89","166.95","180.30","171.50","-","-8.80","-4.88","1,78,96,389","309.88","261.90","124.25","7.90","-73.33"
"HINDCOPPER","224.80","226.00","212.21","224.18","213.20","-","-10.98","-4.90","57,83,298","125.34","415.80","183.82","-5.33","-43.94"
"BBTC","1,989.00","1,995.10","1,882.00","1,988.40","1,891.00","-","-97.40","-4.90","77,740","14.90","2,975.00","1,318.20","10.36","20.56"
"HFCL","85.69","85.84","80.50","85.40","81.20","-","-4.20","-4.92","1,24,29,494","102.20","171.00","71.60","1.73","-16.43"
"SUVENPHAR","1,208.00","1,219.50","1,137.80","1,204.80","1,145.00","-","-59.80","-4.96","1,82,742","21.18","1,360.00","598.00","2.70","76.75"
"SWSOLAR","332.70","333.00","310.70","327.05","310.70","-","-16.35","-5.00","30,80,611","97.43","828.00","218.45","24.45","-53.14"
"THERMAX","3,628.80","3,628.80","3,410.10","3,636.20","3,454.30","-","-181.90","-5.00","1,30,673","45.54","5,839.95","2,950.05","-0.97","-19.91"
"ITI","280.75","281.00","264.07","277.97","264.07","-","-13.90","-5.00","6,20,855","16.54","592.70","210.00","-","-10.03"
"PREMIERENE","1,035.00","1,057.40","982.00","1,037.25","985.00","-","-52.25","-5.04","20,37,791","205.82","1,388.00","774.05","10.15","-"
"SAMMAANCAP","129.85","131.20","122.93","129.85","123.30","-","-6.55","-5.04","92,53,075","116.39","183.30","97.61","12.34","-"
"LTTS","4,310.00","4,347.90","4,164.90","4,477.90","4,251.00","-","-226.90","-5.07","6,28,378","266.05","6,000.00","3,966.00","-5.79","-17.88"
"J&KBANK","103.09","104.15","96.06","102.98","97.75","-","-5.23","-5.08","1,12,76,560","110.92","147.20","86.61","5.18","-26.21"
"BALRAMCHIN","601.00","605.25","568.10","600.60","570.00","-","-30.60","-5.09","5,31,078","30.98","691.80","352.00","7.98","47.39"
"PFC","434.00","436.70","410.75","434.20","412.00","-","-22.20","-5.11","87,82,826","367.28","580.00","357.25","1.11","1.97"
"OLAELEC","52.50","52.69","49.56","52.41","49.72","-","-2.69","-5.13","5,06,43,672","255.90","157.40","45.35","-3.63","-"
"ZEEL","114.00","114.30","106.57","113.95","108.10","-","-5.85","-5.13","1,39,25,734","152.18","168.70","89.32","7.70","-24.16"
"WOCKPHARMA","1,465.00","1,472.50","1,375.10","1,465.20","1,389.90","-","-75.30","-5.14","5,30,473","74.87","1,679.90","490.15","-1.41","-"
"IFCI","46.00","46.22","43.15","45.77","43.40","-","-2.37","-5.18","71,44,450","31.51","91.40","36.20","1.61","-4.95"
"IRCON","164.50","165.49","155.50","164.20","155.60","-","-8.60","-5.24","50,63,459","80.02","351.60","134.24","-1.17","-35.87"
"INTELLECT","808.85","808.85","751.60","809.45","767.00","-","-42.45","-5.24","4,77,303","37.12","1,143.15","577.40","6.00","-27.07"
"NETWORK18","46.10","46.38","43.12","46.15","43.70","-","-2.45","-5.31","55,25,411","24.37","106.00","39.66","-1.84","-52.89"
"MMTC","61.61","61.68","57.74","61.85","58.56","-","-3.29","-5.32","88,72,622","52.38","131.80","44.50","11.03","-21.98"
"CYIENT","1,176.00","1,192.50","1,125.00","1,242.80","1,176.00","-","-66.80","-5.37","58,52,653","678.66","2,157.45","1,084.05","-8.51","-38.86"
"TATAELXSI","5,949.50","5,958.00","5,593.00","5,918.00","5,600.00","-","-318.00","-5.37","6,10,205","349.63","9,080.00","4,700.00","0.82","-20.88"
"NSLNISP","37.59","37.59","35.10","37.41","35.39","-","-2.02","-5.40","54,96,704","19.73","68.95","32.13","3.82","-47.08"
"ADANIENSOL","978.00","981.00","905.90","961.70","909.20","-","-52.50","-5.46","57,36,784","538.28","1,348.00","588.00","13.87","-12.93"
"RBLBANK","200.50","201.27","186.60","198.31","187.40","-","-10.91","-5.50","2,25,39,465","430.32","272.05","146.10","5.12","-28.47"
"ADANIGREEN","974.00","975.85","903.70","968.95","914.95","-","-54.00","-5.57","68,24,718","630.15","2,174.10","758.00","0.05","-49.66"
"NEULANDLAB","13,119.00","13,220.00","12,200.00","13,079.00","12,350.00","-","-729.00","-5.57","51,071","63.90","18,100.00","5,540.10","9.13","73.43"
"BAJAJHFL","132.45","132.45","123.20","132.30","124.88","-","-7.42","-5.61","3,02,09,140","380.54","188.50","103.10","7.80","-"
"SONATSOFTW","358.00","361.00","334.20","355.50","335.50","-","-20.00","-5.63","56,06,055","192.29","763.70","286.40","-6.15","-49.76"
"BERGEPAINT","579.75","579.95","550.00","584.95","551.95","-","-33.00","-5.64","7,21,209","40.20","629.50","437.75","10.18","9.25"
"ALOKINDS","18.46","18.50","17.20","18.43","17.36","-","-1.07","-5.81","1,55,26,193","27.33","30.00","14.01","12.74","-37.14"
"CRISIL","4,844.00","4,844.00","4,502.20","4,800.50","4,518.90","-","-281.60","-5.87","79,826","36.74","6,950.00","3,880.00","8.52","3.92"
"IDEA","7.95","8.21","7.43","7.93","7.46","-","-0.47","-5.93","1,87,36,54,285","1,437.09","19.18","6.61","6.11","-46.26"
"SWIGGY","342.10","343.35","320.00","340.60","320.35","-","-20.25","-5.95","62,37,853","204.70","617.30","306.95","-0.76","-"
"SYRMA","523.80","523.80","486.05","521.25","490.25","-","-31.00","-5.95","10,09,365","50.01","647.10","370.00","4.22","3.24"
"WAAREEENER","2,625.00","2,775.00","2,590.20","2,839.90","2,668.10","-","-171.80","-6.05","91,85,483","2,493.37","3,743.00","1,863.00","10.28","-"
"ANANTRAJ","488.10","489.90","455.80","488.10","458.35","-","-29.75","-6.10","29,79,548","138.37","947.90","319.15","-7.96","27.60"
"PGEL","929.00","934.00","858.55","927.10","870.05","-","-57.05","-6.15","19,59,559","173.40","1,054.20","194.50","0.11","-56.46"
"ACC","2,075.90","2,075.90","1,931.00","2,066.20","1,935.00","-","-131.20","-6.35","12,48,608","244.56","2,844.00","1,778.45","0.22","-24.87"
"BLUESTARCO","1,858.00","1,860.00","1,728.20","1,849.60","1,731.00","-","-118.60","-6.41","15,30,943","269.76","2,417.00","1,376.40","-20.89","18.75"
"GRSE","1,732.10","1,739.00","1,597.80","1,729.30","1,616.10","-","-113.20","-6.55","22,45,648","368.23","2,833.80","881.00","-4.96","57.93"
"SBICARD","875.00","898.95","860.00","926.55","864.85","-","-61.70","-6.66","59,17,555","517.34","930.65","647.95","-0.12","14.39"
"DBREALTY","190.02","192.18","175.10","190.16","177.39","-","-12.77","-6.72","31,54,296","57.12","242.45","115.11","23.41","-19.88"
"RPOWER","44.56","44.90","40.91","44.37","41.30","-","-3.07","-6.92","7,67,61,733","323.01","53.64","23.30","4.79","50.40"
"ANGELONE","2,498.60","2,512.70","2,305.10","2,498.60","2,322.90","-","-175.70","-7.03","20,44,434","487.33","3,503.15","1,941.00","0.16","-17.93"
"SHRIRAMFIN","698.90","705.60","635.00","696.65","640.00","-","-56.65","-8.13","97,84,886","656.87","730.45","438.60","-2.50","-73.71"
"MOTILALOFS","756.00","757.55","679.20","756.00","691.95","-","-64.05","-8.47","87,02,136","613.23","1,064.00","474.80","13.53","-71.80"
